organism,reviewed_count,unreviewed_count,pdb_structures_count,organism_id,lineage,type,type_merge_microbes,superdomain,domain,kingdom,reviewed_count_radius,unreviewed_count_radius,pdb_structures_count_radius
Homo sapiens,20417,20417,8511,9606,Catarrhini; Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Haplorrhini; Hominidae; Homo; Mammalia; Metazoa; Primates; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,80.6159596247198,80.6159596247198,52.04935582031965
Mus musculus,17228,17228,2458,10090,Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Glires; Mammalia; Metazoa; Muridae; Murinae; Muroidea; Mus; Myomorpha; Rodentia; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,74.05297238581545,74.05297238581545,27.971515873112015
Arabidopsis thaliana,16396,16396,1057,3702,Arabidopsis; Brassicaceae; Brassicales; Camelineae; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; malvids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,72.24270824013612,72.24270824013612,18.34267018992237
Rattus norvegicus,8209,8209,724,10116,Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Glires; Mammalia; Metazoa; Muridae; Murinae; Muroidea; Myomorpha; Rattus; Rodentia; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,51.11756895317634,51.11756895317634,15.180789096653193
Saccharomyces cerevisiae (strain ATCC 204508 / S288c),6733,6733,2114,559292,Ascomycota; Dikarya; Eukaryota; Fungi; Saccharomyces; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,46.2944971208832,46.2944971208832,25.94045295272489
Bos taurus,6048,6048,560,9913,Artiodactyla; Bos; Bovidae; Bovinae; Chordata; Craniata; Eukaryota; Euteleostomi; Eutheria; Laurasiatheria; Mammalia; Metazoa; Pecora; Ruminantia; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,43.87639674858871,43.87639674858871,13.351162356249091
Schizosaccharomyces pombe (strain 972 / ATCC 24843),5121,5121,425,284812,Ascomycota; Dikarya; Eukaryota; Fungi; Schizosaccharomyces; Schizosaccharomycetaceae; Schizosaccharomycetales; Schizosaccharomycetes; Taphrinomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,40.37406255440728,40.37406255440728,11.631066229203196
Escherichia coli (strain K12),4531,4531,1732,83333,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,37.977125935209415,37.977125935209415,23.480049464818542
Caenorhabditis elegans,4489,4489,278,6239,Caenorhabditis; Chromadorea; Ecdysozoa; Eukaryota; Metazoa; Nematoda; Peloderinae; Rhabditida; Rhabditidae; Rhabditina; Rhabditoidea; Rhabditomorpha,Animal,Animal,Cellular Life,Eukaryota,Animal,37.80070209769967,37.80070209769967,9.40692023773423
Bacillus subtilis (strain 168),4191,4191,753,224308,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,36.52446759360452,36.52446759360452,15.48183917680307
